author,links,author_born,text
Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,"March 14, 1879","“If you can't explain it to a six year old, you don't understand it yourself.”"
Bob Marley,http://quotes.toscrape.com//author/Bob-Marley,"February 06, 1945","“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”"
Dr. Seuss,http://quotes.toscrape.com//author/Dr-Seuss,"March 02, 1904","“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”"
Douglas Adams,http://quotes.toscrape.com//author/Douglas-Adams,"March 11, 1952","“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”"
Elie Wiesel,http://quotes.toscrape.com//author/Elie-Wiesel,"September 30, 1928","“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”"
Friedrich Nietzsche,http://quotes.toscrape.com//author/Friedrich-Nietzsche,"October 15, 1844","“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”"
Mark Twain,http://quotes.toscrape.com//author/Mark-Twain,"November 30, 1835","“Good friends, good books, and a sleepy conscience: this is the ideal life.”"
Allen Saunders,http://quotes.toscrape.com//author/Allen-Saunders,"April 24, 1899",“Life is what happens to us while we are making other plans.”
Pablo Neruda,http://quotes.toscrape.com//author/Pablo-Neruda,"July 12, 1904","“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”"
Ralph Waldo Emerson,http://quotes.toscrape.com//author/Ralph-Waldo-Emerson,"May 25, 1803",“For every minute you are angry you lose sixty seconds of happiness.”
Mother Teresa,http://quotes.toscrape.com//author/Mother-Teresa,"August 26, 1910","“If you judge people, you have no time to love them.”"
Garrison Keillor,http://quotes.toscrape.com//author/Garrison-Keillor,"August 07, 1942",“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”
Jim Henson,http://quotes.toscrape.com//author/Jim-Henson,"September 24, 1936",“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”
Dr. Seuss,http://quotes.toscrape.com//author/Dr-Seuss,"March 02, 1904","“Today you are You, that is truer than true. There is no one alive who is Youer than You.”"
Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,"March 14, 1879","“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”"
J.K. Rowling,http://quotes.toscrape.com//author/J-K-Rowling,"July 31, 1965","“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”"
Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,"March 14, 1879",“Logic will get you from A to Z; imagination will get you everywhere.”
Bob Marley,http://quotes.toscrape.com//author/Bob-Marley,"February 06, 1945","“One good thing about music, when it hits you, you feel no pain.”"
Dr. Seuss,http://quotes.toscrape.com//author/Dr-Seuss,"March 02, 1904","“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”"
J.K. Rowling,http://quotes.toscrape.com//author/J-K-Rowling,"July 31, 1965","“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”"
Bob Marley,http://quotes.toscrape.com//author/Bob-Marley,"February 06, 1945","“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”"
Mother Teresa,http://quotes.toscrape.com//author/Mother-Teresa,"August 26, 1910",“Not all of us can do great things. But we can do small things with great love.”
J.K. Rowling,http://quotes.toscrape.com//author/J-K-Rowling,"July 31, 1965","“To the well-organized mind, death is but the next great adventure.”"
Charles M. Schulz,http://quotes.toscrape.com//author/Charles-M-Schulz,"November 26, 1922",“All you need is love. But a little chocolate now and then doesn't hurt.”
William Nicholson,http://quotes.toscrape.com//author/William-Nicholson,"January 12, 1948",“We read to know we're not alone.”
Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,"March 14, 1879",“Any fool can know. The point is to understand.”
Jorge Luis Borges,http://quotes.toscrape.com//author/Jorge-Luis-Borges,"August 24, 1899",“I have always imagined that Paradise will be a kind of library.”
George Eliot,http://quotes.toscrape.com//author/George-Eliot,"November 22, 1819",“It is never too late to be what you might have been.”
